Lp.;Tytuł;Autor;Rok wydania;Liczba stron;Gatunek;;;;;
129.  ;Zwiadowcy, tom 08, Królowie Clonmelu;Flanagan John;2011;472;fantastyka młodzieżowa;;;;;
120.  ;Drużyna, tom 2, Najeźdźcy;Flanagan John;2012;438;fantastyka młodzieżowa;;;;;
121.  ;Drużyna, tom 3, Pościg;Flanagan John;2012;408;fantastyka młodzieżowa;;;;;
131.  ;Zwiadowcy, tom 10, Cesarz Nihon-Ja;Flanagan John;2012;565;fantastyka młodzieżowa;;;;;
132.  ;Zwiadowcy, tom 11, Zaginione Historie;Flanagan John;2012;511;fantastyka młodzieżowa;;;;;
130.  ;Zwiadowcy, tom 09, Halt w niebezpieczeństwie;Flanagan John;2013;512;fantastyka młodzieżowa;;;;;
133.  ;Zwiadowcy, tom 12, Królewski Zwiadowca;Flanagan John;2013;487;fantastyka młodzieżowa;;;;;
134.  ;Zwiadowcy, Wczesne lata, tom 1, Turniej w Gorlanie;Flanagan John;2015;389;fantastyka młodzieżowa;;;;;
135.  ;Zwiadowcy, Wczesne lata, tom 2, Bitwa na wrzosowiskach;Flanagan John;2016;397;fantastyka młodzieżowa;;;;;
136.  ;Księga labiryntu;Frabetti Carlo;2007;186;literatura dziecięca;;;;;
137.  ;Wielka rozgrywka;Frabetti Carlo;2009;147;literatura dziecięca;;;;;
138.  ;Śluby panieńskie;Fredro Aleksander;2010;164;klasyka;;;;;
139.  ;Endgame, tom 1, Wezwanie;Frey James;2014;496;fantastyka młodzieżowa;;;;;
140.  ;Endgame, tom 2, Klucz niebios;Frey James;2015;503;fantastyka młodzieżowa;;;;;
141.  ;Endgame, tom 3, Reguły gry;Frey James;2017;343;fantastyka młodzieżowa;;;;;
144.  ;Smoczy jeździec;Funke Cornelia;2004;445;fantastyka dziecięca;;;;;
142.  ;Atramentowe serce;Funke Cornelia;2005;498;fantastyka dziecięca;;;;;
143.  ;Atramentowe serce, tom 2, Atramentowa krew;Funke Cornelia;2006;622;fantastyka dziecięca;;;;;
145.  ;Tajemnica Bożego Narodzenia;Gaardner;2006;240;literatura młodzieżowa;;;;;
146.  ;Gwiezdny pył;Gaiman Neil;2016;195;fantasy;;;;;
147.  ;Wielkie czyny szympansa Bajbuna Mądrego;Giżycki Kamil;2006;107;literatura dziecięca;;;;;
149.  ;Metro 2033;Glukhovsky Dimitry;2010;591;science fiction;;;;;
150.  ;Metro 2034;Glukhovsky Dimitry;2010;487;science fiction;;;;;
153.  ;Witajcie w Rosji;Glukhovsky Dimitry;2014;335;science fiction;;;;;
148.  ;Futu.re;Glukhovsky Dimitry;2015;635;science fiction;;;;;
151.  ;Metro 2035;Glukhovsky Dimitry;2015;546;science fiction;;;;;
152.  ;Tekst;Glukhovsky Dimitry;2017;366;thriller;;;;;
154.  ;Władca much;Golding William;2010;245;literatura piękna;;;;;
155.  ;Ferdydurke;Gombrowicz Witold;1986;254;literatura piękna;;;;;
156.  ;Nieznane  przygody Mikołajka;Goscinny Rene;2009;175;literatura dziecięca;;;;;
157.  ;Nowe przygody Mikołajka;Goscinny Rene;2010;625;literatura dziecięca;;;;;
158.  ;Nowe przygody Mikołajka, Kolejna porcja;Goscinny Rene;2012;365;literatura dziecięca;;;;;
159.  ;O czym szumią wierzby;Grahame Kenneth;2005;171;literatura dziecięca;;;;;
160.  ;Mity starożytnej Grecji;Graves Robert;2004;142;klasyka;;;;;
162.  ;Papierowe miasta;Green John;2013;393;literatura młodzieżowa;;;;;
163.  ;Szukając Alaski;Green John;2013;312;literatura młodzieżowa;;;;;
161.  ;19 razy Katherine;Green John;2014;288;literatura młodzieżowa;;;;;
164.  ;Will Grayson, Will Grayson;Green John;2015;353;literatura młodzieżowa;;;;;
165.  ;Emilkowy piosennik;Hamerski Jerzy;2006;139;wiersze dziecięce;;;;;
167.  ;Seria niefortunnych zdarzeń, tom 10, Zjezdne zbocze;Handler Daniel;2005;351;fantastyka dziecięca;;;;;
166.  ;Przykry początek;Handler Daniel;2013;172;fantastyka dziecięca;;;;;
168.  ;13 zaklęć ;Harrison Michelle;2011;447;fantastyka młodzieżowa;;;;;
169.  ;Czik;Herrndorf Wolfgang;2013;231;literatura piękna;;;;;
170.  ;Wyspa;Horvath Polly;2010;277;literatura piękna;;;;;
171.  ;Urodzona o północy;Hunter C.C.;2014;365;fantastyka młodzieżowa;;;;;
172.  ;Czekolada z chili;Jagiełło Joanna;2013;304;literatura młodzieżowa;;;;;
